青沥备开,盔林矫 醚拌,巩阜谰,家檬搁,龋历搁,瘤沥搁,何沸搁,蓖贰搁,蕊诀搁,魄何搁,脚覆搁,吝居悼,盔牢悼,俺款悼,疙符1悼,疙符2悼,窜备悼,老魂悼,切己悼,窜拌悼,快魂悼,怕厘1悼,怕厘2悼,豪魂悼,青备悼,公角悼,馆邦包汲悼
51技,"6,351",342,105,38,384,24,16,161,139,36,27,58,220,138,357,891,114,74,437,249,249,423,119,164,668,918
52技,"6,180",340,127,50,368,25,35,156,126,50,33,60,170,113,323,831,115,55,434,219,234,450,126,166,682,892
53技,"6,680",328,136,55,408,22,28,172,139,50,42,71,241,139,377,928,113,77,538,245,217,473,144,181,658,898
54技,"6,477",352,161,49,364,29,28,158,146,68,54,67,226,163,357,860,135,78,503,229,232,486,140,167,609,816
55技,"6,721",382,140,62,355,34,42,177,143,69,49,78,250,169,371,855,163,82,558,244,229,524,154,180,631,780
56技,"6,262",328,162,79,339,44,36,176,129,70,46,78,251,156,361,804,132,101,496,234,238,423,141,167,593,678
57技,"5,928",334,167,69,306,32,47,147,140,68,44,75,233,160,326,715,130,90,472,215,204,414,139,173,522,706
58技,"6,135",333,189,85,369,40,45,177,131,92,47,67,261,161,358,729,114,81,530,195,226,469,161,177,487,611
59技,"5,872",349,204,69,311,51,72,170,141,87,64,77,243,168,311,683,121,105,504,196,213,445,140,145,455,548
60技,"5,256",305,169,71,261,39,61,177,147,87,55,75,216,132,293,598,104,73,423,217,180,392,146,124,417,494
61技,"6,266",372,224,107,335,45,63,204,145,121,49,69,243,184,329,644,169,95,574,237,216,468,173,161,492,547
62技,"5,820",306,207,86,323,52,58,195,150,107,67,79,236,153,310,665,138,90,506,220,191,414,171,149,454,493
63技,"6,759",359,264,116,354,97,84,235,161,148,80,114,278,188,358,660,150,95,613,269,219,490,208,199,515,505
64技,"6,607",390,225,132,344,72,87,244,156,141,79,80,249,206,346,650,173,114,537,252,230,520,183,164,532,501
65技,"5,784",326,241,93,303,90,79,200,125,144,62,72,241,178,273,555,146,109,476,233,188,418,179,144,440,469
66技,"5,460",290,245,88,276,76,67,175,123,115,71,90,225,162,299,521,170,117,428,197,206,381,166,159,417,396
67技,"5,007",277,195,100,242,81,64,185,96,98,64,77,217,145,284,493,149,87,384,186,173,367,151,144,396,352
68技,"4,525",265,180,78,223,61,59,170,68,93,58,53,161,125,232,457,128,90,378,185,169,371,149,106,345,321
69技,"4,330",284,172,94,189,54,53,156,97,93,57,63,174,119,243,424,114,98,319,163,175,311,144,106,305,323
70技,"3,445",185,147,77,175,52,55,108,76,83,37,51,142,117,185,303,119,74,260,116,128,282,100,88,263,222
71技,"3,081",180,145,62,134,51,49,121,57,66,35,52,140,99,171,291,100,73,213,102,115,216,117,81,209,202
72技,"3,745",248,141,85,160,61,54,119,84,93,51,55,179,116,203,353,115,73,281,154,150,276,138,86,248,222
73技,"2,149",133,84,34,89,35,37,72,50,60,30,37,114,70,113,189,76,40,141,87,86,155,90,49,156,122
74技,"2,077",136,70,44,78,29,23,66,47,62,31,33,99,82,110,213,60,40,160,77,86,142,61,42,160,126
75技,"2,155",139,84,38,94,37,33,75,41,63,26,49,115,64,111,200,75,52,143,99,86,151,79,47,133,121
76技,"2,269",146,92,55,74,37,36,66,48,57,26,26,94,67,122,240,91,51,153,106,74,199,91,49,148,121
77技,"2,349",169,82,51,94,54,33,69,37,50,31,27,142,88,126,200,86,45,148,96,94,173,82,56,157,159
78技,"1,732",118,67,28,53,29,26,63,36,32,21,23,88,61,92,191,64,41,93,79,72,123,69,50,95,118
79技,"1,947",138,75,36,62,34,31,62,40,50,33,42,104,70,103,192,74,39,121,83,68,140,67,36,130,117
80技,"1,815",135,77,31,65,26,26,53,29,48,35,43,103,55,67,196,60,31,108,71,71,135,90,53,110,97
81技,"1,969",130,87,47,72,38,35,60,36,40,35,24,96,87,114,153,73,62,114,59,84,149,81,54,132,107
82技,"1,964",150,65,52,55,43,32,64,38,49,31,35,112,59,96,208,60,59,125,67,64,133,90,54,107,116
83技,"1,750",139,81,39,70,32,24,70,35,43,33,36,103,49,75,174,64,46,86,67,65,124,74,38,87,96
84技,"1,577",100,56,39,53,33,26,58,32,46,23,30,69,71,91,152,49,37,95,58,70,103,73,37,86,90
85技,"1,448",97,69,51,53,31,19,54,26,37,37,13,70,51,77,134,67,26,82,55,37,122,64,38,61,77
86技,"1,327",75,58,38,34,24,21,54,23,37,39,24,67,45,65,113,59,25,87,56,41,103,55,42,81,61
87技,"1,027",71,46,33,38,24,13,37,19,38,13,19,54,29,52,87,41,30,65,37,36,80,40,38,32,55
88技,891,62,27,27,25,20,12,26,21,25,23,16,46,31,44,78,32,23,56,30,21,74,44,22,54,52
89技,748,37,35,25,29,15,16,31,20,20,19,15,39,22,36,68,27,16,47,29,12,53,28,26,35,48
90技,560,40,24,15,21,9,8,20,14,15,11,16,26,16,35,56,21,17,31,20,9,30,37,11,30,28
91技,466,25,23,17,17,9,7,19,12,10,14,12,25,13,25,34,15,15,30,15,14,36,23,11,18,27
92技,365,26,20,8,15,13,6,15,7,3,6,3,14,9,18,35,16,12,24,8,12,30,8,11,23,23
93技,250,21,16,5,9,3,5,8,7,5,5,6,13,10,11,13,7,8,12,7,6,21,14,4,16,18
94技,226,7,14,8,10,7,5,5,9,7,4,1,12,6,12,16,9,3,10,8,4,19,9,5,18,18
95技,166,19,10,4,4,1,2,6,2,8,4,0,7,3,10,13,10,8,9,3,5,11,7,3,10,7
96技,126,10,5,4,3,1,1,0,2,1,4,3,6,7,8,12,3,4,9,4,2,12,7,3,6,9
97技,79,6,0,3,6,2,4,2,1,1,4,1,3,5,2,5,1,1,6,8,4,4,2,3,2,3
98技,50,1,3,1,1,1,0,4,2,2,2,0,3,1,3,7,5,0,2,1,0,0,4,2,2,3
99技,27,5,2,0,0,1,1,2,1,1,0,0,1,0,0,2,2,0,3,2,1,0,0,0,3,0
100技 捞惑,59,4,5,1,4,0,0,2,2,2,2,1,2,2,2,5,2,3,1,5,2,1,3,2,3,3
